ct__ab_mod_alacir_eminence_1;A city holding is building a alacir_eminence_1 here and it will take at most 1 days to complete.;Une ville holding est construire un alacir_eminence_1 ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein alacir_eminence_1 auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un alacir_eminence_1 aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_lasombra_eminence_3;A city holding is building a Lasombra Sanctioned Court here and it will take at most 1 days to complete.;Une ville holding est construire un Lasombra Sanctioned Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Lasombra Sanctioned Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Lasombra Sanctioned Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_lasombra_eminence_4;A city holding is building a Lasombra Established Court here and it will take at most 1 days to complete.;Une ville holding est construire un Lasombra Established Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Lasombra Established Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Lasombra Established Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_lasombra_eminence_5;A city holding is building a Lasombra Noteworthy Court here and it will take at most 1 days to complete.;Une ville holding est construire un Lasombra Noteworthy Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Lasombra Noteworthy Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Lasombra Noteworthy Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_lasombra_eminence_6;A city holding is building a Lasombra Prominent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Lasombra Prominent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Lasombra Prominent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Lasombra Prominent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_lasombra_eminence_7;A city holding is building a Lasombra Eminent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Lasombra Eminent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Lasombra Eminent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Lasombra Eminent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_malkavian_emiinence_8;A city holding is building a Malkavian Preeminent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Malkavian Preeminent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Malkavian Preeminent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Malkavian Preeminent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_malkavian_eminence_1;A city holding is building a Malkavian Recognized Court here and it will take at most 1 days to complete.;Une ville holding est construire un Malkavian Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Malkavian Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Malkavian Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_malkavian_eminence_2;A city holding is building a Malkavian Significant Court here and it will take at most 1 days to complete.;Une ville holding est construire un Malkavian Significant Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Malkavian Significant Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Malkavian Significant Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_malkavian_eminence_3;A city holding is building a Malkavian Sanctioned Court here and it will take at most 1 days to complete.;Une ville holding est construire un Malkavian Sanctioned Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Malkavian Sanctioned Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Malkavian Sanctioned Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_malkavian_eminence_4;A city holding is building a Malkavian Established Court here and it will take at most 1 days to complete.;Une ville holding est construire un Malkavian Established Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Malkavian Established Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Malkavian Established Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_malkavian_eminence_5;A city holding is building a Malkavian Noteworthy Court here and it will take at most 1 days to complete.;Une ville holding est construire un Malkavian Noteworthy Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Malkavian Noteworthy Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Malkavian Noteworthy Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_malkavian_eminence_6;A city holding is building a Malkavian Prominent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Malkavian Prominent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Malkavian Prominent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Malkavian Prominent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_malkavian_eminence_7;A city holding is building a Malkavian Eminent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Malkavian Eminent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Malkavian Eminent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Malkavian Eminent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_nosferatu_emiinence_8;A city holding is building a Nosferatu Preeminent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Nosferatu Preeminent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Nosferatu Preeminent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Nosferatu Preeminent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_nosferatu_eminence_1;A city holding is building a Nosferatu Recognized Court here and it will take at most 1 days to complete.;Une ville holding est construire un Nosferatu Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Nosferatu Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Nosferatu Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_nosferatu_eminence_2;A city holding is building a Nosferatu Significant Court here and it will take at most 1 days to complete.;Une ville holding est construire un Nosferatu Significant Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Nosferatu Significant Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Nosferatu Significant Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_nosferatu_eminence_3;A city holding is building a Nosferatu Sanctioned Court here and it will take at most 1 days to complete.;Une ville holding est construire un Nosferatu Sanctioned Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Nosferatu Sanctioned Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Nosferatu Sanctioned Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_nosferatu_eminence_4;A city holding is building a Nosferatu Established Court here and it will take at most 1 days to complete.;Une ville holding est construire un Nosferatu Established Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Nosferatu Established Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Nosferatu Established Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_nosferatu_eminence_5;A city holding is building a Nosferatu Noteworthy Court here and it will take at most 1 days to complete.;Une ville holding est construire un Nosferatu Noteworthy Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Nosferatu Noteworthy Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Nosferatu Noteworthy Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_nosferatu_eminence_6;A city holding is building a Nosferatu Prominent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Nosferatu Prominent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Nosferatu Prominent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Nosferatu Prominent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_nosferatu_eminence_7;A city holding is building a Nosferatu Eminent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Nosferatu Eminent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Nosferatu Eminent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Nosferatu Eminent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_ravnos_emiinence_8;A city holding is building a Ravnos Preeminent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Ravnos Preeminent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Ravnos Preeminent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Ravnos Preeminent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_ravnos_eminence_1;A city holding is building a Ravnos Recognized Court here and it will take at most 1 days to complete.;Une ville holding est construire un Ravnos Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Ravnos Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Ravnos Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_ravnos_eminence_2;A city holding is building a Ravnos Significant Court here and it will take at most 1 days to complete.;Une ville holding est construire un Ravnos Significant Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Ravnos Significant Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Ravnos Significant Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_ravnos_eminence_3;A city holding is building a Ravnos Sanctioned Court here and it will take at most 1 days to complete.;Une ville holding est construire un Ravnos Sanctioned Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Ravnos Sanctioned Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Ravnos Sanctioned Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_ravnos_eminence_4;A city holding is building a Ravnos Established Court here and it will take at most 1 days to complete.;Une ville holding est construire un Ravnos Established Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Ravnos Established Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Ravnos Established Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_ravnos_eminence_5;A city holding is building a Ravnos Noteworthy Court here and it will take at most 1 days to complete.;Une ville holding est construire un Ravnos Noteworthy Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Ravnos Noteworthy Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Ravnos Noteworthy Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_ravnos_eminence_6;A city holding is building a Ravnos Prominent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Ravnos Prominent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Ravnos Prominent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Ravnos Prominent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_ravnos_eminence_7;A city holding is building a Ravnos Eminent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Ravnos Eminent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Ravnos Eminent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Ravnos Eminent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_toreador_emiinence_8;A city holding is building a Toreador Preeminent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Toreador Preeminent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Toreador Preeminent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Toreador Preeminent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_toreador_eminence_1;A city holding is building a Toreador Recognized Court here and it will take at most 1 days to complete.;Une ville holding est construire un Toreador Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Toreador Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Toreador Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_toreador_eminence_2;A city holding is building a Toreador Significant Court here and it will take at most 1 days to complete.;Une ville holding est construire un Toreador Significant Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Toreador Significant Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Toreador Significant Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_toreador_eminence_3;A city holding is building a Toreador Sanctioned Court here and it will take at most 1 days to complete.;Une ville holding est construire un Toreador Sanctioned Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Toreador Sanctioned Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Toreador Sanctioned Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_toreador_eminence_4;A city holding is building a Toreador Established Court here and it will take at most 1 days to complete.;Une ville holding est construire un Toreador Established Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Toreador Established Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Toreador Established Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_toreador_eminence_5;A city holding is building a Toreador Noteworthy Court here and it will take at most 1 days to complete.;Une ville holding est construire un Toreador Noteworthy Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Toreador Noteworthy Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Toreador Noteworthy Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_toreador_eminence_6;A city holding is building a Toreador Prominent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Toreador Prominent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Toreador Prominent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Toreador Prominent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_toreador_eminence_7;A city holding is building a Toreador Eminent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Toreador Eminent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Toreador Eminent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Toreador Eminent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_tremere_emiinence_8;A city holding is building a Tremere Preeminent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Tremere Preeminent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Tremere Preeminent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Tremere Preeminent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_tremere_eminence_1;A city holding is building a Tremere Recognized Court here and it will take at most 1 days to complete.;Une ville holding est construire un Tremere Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Tremere Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Tremere Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_tremere_eminence_2;A city holding is building a Tremere Significant Court here and it will take at most 1 days to complete.;Une ville holding est construire un Tremere Significant Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Tremere Significant Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Tremere Significant Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_tremere_eminence_3;A city holding is building a Tremere Sanctioned Court here and it will take at most 1 days to complete.;Une ville holding est construire un Tremere Sanctioned Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Tremere Sanctioned Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Tremere Sanctioned Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_tremere_eminence_4;A city holding is building a Tremere Established Court here and it will take at most 1 days to complete.;Une ville holding est construire un Tremere Established Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Tremere Established Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Tremere Established Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_tremere_eminence_5;A city holding is building a Tremere Noteworthy Court here and it will take at most 1 days to complete.;Une ville holding est construire un Tremere Noteworthy Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Tremere Noteworthy Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Tremere Noteworthy Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_tremere_eminence_6;A city holding is building a Tremere Prominent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Tremere Prominent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Tremere Prominent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Tremere Prominent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_tremere_eminence_7;A city holding is building a Tremere Eminent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Tremere Eminent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Tremere Eminent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Tremere Eminent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_tzimisce_emiinence_8;A city holding is building a Tzimisce Preeminent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Tzimisce Preeminent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Tzimisce Preeminent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Tzimisce Preeminent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_tzimisce_eminence_1;A city holding is building a Tzimisce Recognized Court here and it will take at most 1 days to complete.;Une ville holding est construire un Tzimisce Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Tzimisce Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Tzimisce Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_tzimisce_eminence_2;A city holding is building a Tzimisce Significant Court here and it will take at most 1 days to complete.;Une ville holding est construire un Tzimisce Significant Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Tzimisce Significant Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Tzimisce Significant Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_tzimisce_eminence_3;A city holding is building a Tzimisce Sanctioned Court here and it will take at most 1 days to complete.;Une ville holding est construire un Tzimisce Sanctioned Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Tzimisce Sanctioned Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Tzimisce Sanctioned Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_tzimisce_eminence_4;A city holding is building a Tzimisce Established Court here and it will take at most 1 days to complete.;Une ville holding est construire un Tzimisce Established Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Tzimisce Established Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Tzimisce Established Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_tzimisce_eminence_5;A city holding is building a Tzimisce Noteworthy Court here and it will take at most 1 days to complete.;Une ville holding est construire un Tzimisce Noteworthy Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Tzimisce Noteworthy Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Tzimisce Noteworthy Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_tzimisce_eminence_6;A city holding is building a Tzimisce Prominent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Tzimisce Prominent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Tzimisce Prominent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Tzimisce Prominent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_tzimisce_eminence_7;A city holding is building a Tzimisce Eminent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Tzimisce Eminent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Tzimisce Eminent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Tzimisce Eminent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_ventrue_emiinence_8;A city holding is building a Ventrue Preeminent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Ventrue Preeminent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Ventrue Preeminent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Ventrue Preeminent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_ventrue_eminence_1;A city holding is building a Ventrue Recognized Court here and it will take at most 1 days to complete.;Une ville holding est construire un Ventrue Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Ventrue Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Ventrue Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_ventrue_eminence_2;A city holding is building a Ventrue Significant Court here and it will take at most 1 days to complete.;Une ville holding est construire un Ventrue Significant Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Ventrue Significant Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Ventrue Significant Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_ventrue_eminence_3;A city holding is building a Ventrue Sanctioned Court here and it will take at most 1 days to complete.;Une ville holding est construire un Ventrue Sanctioned Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Ventrue Sanctioned Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Ventrue Sanctioned Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_ventrue_eminence_4;A city holding is building a Ventrue Established Court here and it will take at most 1 days to complete.;Une ville holding est construire un Ventrue Established Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Ventrue Established Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Ventrue Established Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_ventrue_eminence_5;A city holding is building a Ventrue Noteworthy Court here and it will take at most 1 days to complete.;Une ville holding est construire un Ventrue Noteworthy Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Ventrue Noteworthy Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Ventrue Noteworthy Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_ventrue_eminence_6;A city holding is building a Ventrue Prominent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Ventrue Prominent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Ventrue Prominent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Ventrue Prominent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_ventrue_eminence_7;A city holding is building a Ventrue Eminent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Ventrue Eminent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Ventrue Eminent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Ventrue Eminent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_elysium_1;A city holding is building a Elysium here and it will take at most 365 days to complete.;Une ville holding est construire un Elysium ici et il faudra au maximum 365 jours pour tre termin.;Ein Stadt-Halt baut hier ein Elysium auf und es dauert hchstens 365 Tage bis zum Ende.;;Un ciudad holding est construyendo un Elysium aqu y tomar como mximo 365 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_guildward_1;A city holding is building a Bribed Apprentice here and it will take at most 7 days to complete.;Une ville holding est construire un Bribed Apprentice ici et il faudra au maximum 7 jours pour tre termin.;Ein Stadt-Halt baut hier ein Bribed Apprentice auf und es dauert hchstens 7 Tage bis zum Ende.;;Un ciudad holding est construyendo un Bribed Apprentice aqu y tomar como mximo 7 das para completarse.;;;;;;;;;x
